country_year_id,umap_1,umap_2
Austria_2024_3371,5.950632,10.525623
Austria_2024_3387,2.557135,6.841606
Austria_2024_3841,-1.4482627,10.040518
Austria_2024_3970,1.626361,8.331861
Austria_2024_4281,-2.0853636,8.253698
Austria_2024_4410,-1.2146665,5.522112
Austria_2024_4498,4.5294495,6.6612797
Austria_2024_4501,5.1945615,8.109358
Austria_2024_4688,8.042377,8.410495
Austria_2024_4865,8.267981,3.5988245
Austria_2024_4872,2.15531,8.809867
Austria_2024_4900,4.876776,7.465073
Austria_2024_4960,1.5229815,4.509242
Austria_2024_5281,1.3449447,4.9031434
Austria_2024_5288,3.154733,8.030141
Austria_2024_5341,2.1611264,5.9993844
Austria_2024_5551,7.2176547,9.037711
Austria_2024_5564,6.341671,5.881776
Austria_2024_5734,3.0626802,11.874468
Austria_2024_5766,6.0179377,13.292031
Austria_2024_5882,5.1812468,12.172363
Austria_2024_5959,0.23126829,8.150183
Austria_2024_6060,5.751107,11.554598
Austria_2024_6089,8.83289,1.8798165
Austria_2024_6191,2.4849932,11.5519285
Austria_2024_6252,6.888088,8.455207
Austria_2024_6301,3.6245492,9.292699
Austria_2024_6613,2.3442495,10.690778
Austria_2024_6619,3.7858129,5.990386
Austria_2024_6640,3.2738333,9.528636
Austria_2024_6672,-0.031711154,7.6321454
Austria_2024_6842,5.0100513,7.4713535
Austria_2024_7004,6.1441083,6.827559
Austria_2024_7494,-2.412372,7.3830547
Austria_2024_7496,-2.204124,7.650456
Austria_2024_7609,8.573733,8.858724
Austria_2024_7648,1.0533319,6.1196074
Austria_2024_7675,8.779346,2.3955283
Austria_2024_7754,0.55898905,4.7153077
Austria_2024_7776,6.617259,8.7544155
Austria_2024_7853,8.07018,6.491296
Austria_2024_7913,6.176217,10.245184
Austria_2024_7974,-1.1196116,7.030832
Austria_2024_8069,6.0465727,13.59461
Austria_2024_8076,3.5896041,10.224562
Austria_2024_8357,5.6105857,7.604374
Austria_2024_8467,-3.1635704,6.680206
Austria_2024_8484,2.990414,7.7845464
Austria_2024_8485,5.6606755,8.662729
Austria_2024_8528,4.351992,7.9166617
Austria_2024_8725,-1.5713972,8.164254
Austria_2024_8829,-0.062609054,10.382015
Austria_2024_9009,3.3792381,7.4117594
Austria_2024_9286,8.136438,11.53706
Austria_2024_9674,3.5935383,9.199802
Austria_2024_9692,5.8687844,11.419604
Austria_2024_9841,-0.8983518,9.006065
Austria_2024_10042,7.1426373,9.1360035
Austria_2024_10231,9.153941,3.9802952
