country_year_id,umap_1,umap_2
Austria_2024_19541,0.12776704,6.92955
Austria_2024_19546,11.047068,10.67145
Austria_2024_19553,4.99003,7.9020543
Austria_2024_19698,7.629281,10.756123
Austria_2024_19710,4.7354574,4.938921
Austria_2024_19729,2.3442392,11.876082
Austria_2024_19797,11.957846,8.052321
Austria_2024_19810,7.4475536,11.30129
Austria_2024_20238,1.5431255,12.206962
Austria_2024_20443,3.633752,10.1060915
Austria_2024_21002,0.40233845,9.418828
Austria_2024_19,5.664198,11.404018
Austria_2024_130,0.79284495,6.4053993
Austria_2024_149,1.9398693,11.236657
Austria_2024_747,3.0847998,3.7749228
Austria_2024_753,1.4361802,10.596337
Austria_2024_924,8.464543,6.3224287
Austria_2024_947,0.20836121,11.9861145
Austria_2024_1613,1.5274127,11.71828
Austria_2024_1646,7.205456,12.410513
Austria_2024_1663,10.1090765,9.313083
Austria_2024_1697,10.336202,10.262194
Austria_2024_1782,6.9157653,12.644884
Austria_2024_1830,9.158101,9.657069
Austria_2024_1855,0.2703352,11.486426
Austria_2024_1980,1.7473732,11.1342745
Austria_2024_2031,4.471044,12.72723
Austria_2024_2094,-2.3600008,9.162264
Austria_2024_2304,8.7922945,6.5867467
Austria_2024_2369,5.589842,8.368104
Austria_2024_2646,3.1865668,3.0875666
Austria_2024_2755,8.495679,11.821461
Austria_2024_2778,4.9457655,10.638613
Austria_2024_2850,1.7246691,11.091957
Austria_2024_2949,8.01926,6.491987
Austria_2024_2986,7.0545335,10.999003
Austria_2024_3050,5.944801,9.930872
Austria_2024_3074,10.299399,6.5617075
Austria_2024_3359,5.5143604,12.812423
Austria_2024_3361,7.4196634,12.649141
Austria_2024_3594,4.1398773,12.693709
Austria_2024_3697,7.512994,12.499406
Austria_2024_3845,9.457581,7.4471874
Austria_2024_3928,6.6202908,9.4963875
Austria_2024_4123,10.499748,8.214532
Austria_2024_4390,8.890174,8.645495
Austria_2024_4552,2.2051542,5.9068313
Austria_2024_4589,3.6211188,3.2439952
Austria_2024_4724,9.648097,6.6897025
Austria_2024_4727,5.1620708,10.160678
Austria_2024_4830,7.5608945,12.493152
Austria_2024_5010,10.28735,10.8651285
Austria_2024_5072,5.8968525,7.411696
Austria_2024_5357,6.821207,9.9661665
Austria_2024_5408,6.8024826,10.018659
Austria_2024_5460,10.000735,6.239014
Austria_2024_5831,4.1431007,11.764991
Austria_2024_5963,7.2719936,8.293184
Austria_2024_5988,-0.26410607,6.9285564
Austria_2024_6194,6.242376,13.675465
Austria_2024_6244,5.29956,11.673779
Austria_2024_6336,2.549519,0.97290957
Austria_2024_6462,6.3007817,12.2197
Austria_2024_6634,6.6439767,7.0480576
Austria_2024_6703,6.8600135,11.686495
Austria_2024_6783,8.243774,7.4047937
